Voltage_measured (Volts),Current_measured (Amps),Temperature_measured (C),Time (secs),Source_File,Ambient Temperature,Delta_Temperature,state,cycle_number,
3.873017221,-0.001200661,24.65535783,0,Cycle_1_charge.csv,24,0.655357834,charge,1,
3.479393559,-4.030268478,24.66647981,2.532,Cycle_1_charge.csv,24,0.666479812,charge,1,
4.000587822,1.512730647,24.67539447,5.5,Cycle_1_charge.csv,24,0.67539447,charge,1,
4.012395194,1.509063282,24.69386509,8.344,Cycle_1_charge.csv,24,0.693865094,charge,1,
4.019708059,1.511318193,24.70506946,11.125,Cycle_1_charge.csv,24,0.70506946,charge,1,
4.025409467,1.51277913,24.71813972,13.891,Cycle_1_charge.csv,24,0.718139717,charge,1,
4.030636266,1.511838343,24.73114415,16.672,Cycle_1_charge.csv,24,0.731144147,charge,1,
4.035348959,1.510245404,24.74128965,19.5,Cycle_1_charge.csv,24,0.741289654,charge,1,
4.039716367,1.507795762,24.75901141,22.282,Cycle_1_charge.csv,24,0.759011414,charge,1,
4.04354121,1.507322026,24.76689109,25.063,Cycle_1_charge.csv,24,0.766891095,charge,1,
4.046724069,1.510225939,24.77833908,27.828,Cycle_1_charge.csv,24,0.778339076,charge,1, 
4.050320832,1.51185336,24.79565341,30.641,Cycle_1_charge.csv,24,0.795653409,charge,1,
4.053477757,1.510139289,24.79560886,33.453,Cycle_1_charge.csv,24,0.795608863,charge,1,
4.056879474,1.512817714,24.80759179,36.219,Cycle_1_charge.csv,24,0.807591786,charge,1,
4.06020401,1.509577661,24.82664625,39.735,Cycle_1_charge.csv,24,0.826646253,charge,1,
4.06309148,1.512772146,24.83742133,42.578,Cycle_1_charge.csv,24,0.837421333,charge,1,
4.066063636,1.509769494,24.8467593,45.438,Cycle_1_charge.csv,24,0.846759303,charge,1,
4.068105681,1.51136777,24.84916666,48.297,Cycle_1_charge.csv,24,0.849166658,charge,1,
4.070910891,1.513397984,24.85294998,51.188,Cycle_1_charge.csv,24,0.852949982,charge,1,
4.073140624,1.511197352,24.86507399,54.047,Cycle_1_charge.csv,24,0.865073985,charge,1,
4.075311977,1.511244173,24.87506247,56.922,Cycle_1_charge.csv,24,0.875062473,charge,1,
4.077986508,1.508112631,24.88648983,59.797,Cycle_1_charge.csv,24,0.886489825,charge,1,
4.079760222,1.508852666,24.90653923,62.688,Cycle_1_charge.csv,24,0.906539228,charge,1,
4.081802115,1.510345307,24.90930298,65.657,Cycle_1_charge.csv,24,0.909302977,charge,1,
4.083793222,1.513880718,24.91400307,68.547,Cycle_1_charge.csv,24,0.91400307,charge,1,
4.085358876,1.507549217,24.92638503,71.453,Cycle_1_charge.csv,24,0.926385032,charge,1,
4.087077934,1.511287164,24.93787289,74.344,Cycle_1_charge.csv,24,0.937872895,charge,1,
4.088869896,1.512063308,24.95146771,77.235,Cycle_1_charge.csv,24,0.951467708,charge,1,
4.089918408,1.512585708,24.95078944,80.188,Cycle_1_charge.csv,24,0.950789442,charge,1,
4.092041174,1.509394822,24.98153815,83.172,Cycle_1_charge.csv,24,0.981538149,charge,1,
4.093273406,1.510155243,24.99214715,86.094,Cycle_1_charge.csv,24,0.99214715,charge,1,
4.094623414,1.506183161,24.99749221,89.016,Cycle_1_charge.csv,24,0.997492213,charge,1,
